,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
0,bert-base-uncased,1,compound_mean,0.3059411788563393,0.07703689867361647,0.075948506127444,0.16163176832614295,,,,,,,,
1,bert-base-uncased,1,compound_mean,0.3059411788563393,0.07703689867361647,0.075948506127444,0.16163176832614295,0.5134175268976527,0.10945820347455612,0.32929399139517884,0.19087480739677715,,,,
2,bert-base-uncased,1,compound_mean,0.3059411788563393,0.07703689867361647,0.075948506127444,0.16163176832614295,0.5134175268976527,0.10945820347455612,0.32929399139517884,0.19087480739677715,0.49428062228531916,0.11350475481360336,0.453650979382584,0.19656147895128193
3,bert-base-uncased,1,head_noun_mean,0.26216023774181574,0.09998103006994415,0.07202013512085206,0.19260594683046048,,,,,,,,
4,bert-base-uncased,1,head_noun_mean,0.26216023774181574,0.09998103006994415,0.07202013512085206,0.19260594683046048,0.6953189850629232,0.013137984462176844,0.6804114250538146,0.03175762309259906,,,,
5,bert-base-uncased,1,head_noun_mean,0.26216023774181574,0.09998103006994415,0.07202013512085206,0.19260594683046048,0.6953189850629232,0.013137984462176844,0.6804114250538146,0.03175762309259906,0.09687267110569506,0.09550954045438095,-0.04970807470379554,0.12941914043293928
6,bert-base-uncased,1,mod_word_mean,0.2458538872902122,0.09873157051814505,0.07071067811865475,0.16709820675156417,,,,,,,,
7,bert-base-uncased,1,mod_word_mean,0.2458538872902122,0.09873157051814505,0.07071067811865475,0.16709820675156417,0.07665934778471682,0.09529651687187052,-0.02916774164506718,0.13371387952447325,,,,
8,bert-base-uncased,1,mod_word_mean,0.2458538872902122,0.09873157051814505,0.07071067811865475,0.16709820675156417,0.07665934778471682,0.09529651687187052,-0.02916774164506718,0.13371387952447325,0.6933089274872815,0.01061210219528263,0.683529663232683,0.003069479310480078
9,bert-base-uncased,2,compound_mean,0.3137863004581613,0.07971466595899993,0.0982472383016917,0.1682750573688537,,,,,,,,
10,bert-base-uncased,2,compound_mean,0.3137863004581613,0.07971466595899993,0.0982472383016917,0.1682750573688537,0.5162073012073349,0.10327910013620635,0.34664332602537495,0.18213110073625247,,,,
11,bert-base-uncased,2,compound_mean,0.3137863004581613,0.07971466595899993,0.0982472383016917,0.1682750573688537,0.5162073012073349,0.10327910013620635,0.34664332602537495,0.18213110073625247,0.4895137503225054,0.10744778275305994,0.43630164475238775,0.18828744584893445
12,bert-base-uncased,2,head_noun_mean,0.27173147504907835,0.10866703890801407,0.0995187321669956,0.1902276450132779,,,,,,,,
13,bert-base-uncased,2,head_noun_mean,0.27173147504907835,0.10866703890801407,0.0995187321669956,0.1902276450132779,0.6953189850629232,0.013137984462176844,0.6804114250538146,0.03175762309259906,,,,
14,bert-base-uncased,2,head_noun_mean,0.27173147504907835,0.10866703890801407,0.0995187321669956,0.1902276450132779,0.6953189850629232,0.013137984462176844,0.6804114250538146,0.03175762309259906,0.0778382343350609,0.07877710669053253,-0.05079240811818278,0.12899743361290153
15,bert-base-uncased,2,mod_word_mean,0.2549772961908442,0.09360715538627057,0.07729592626653473,0.1681982486392029,,,,,,,,
16,bert-base-uncased,2,mod_word_mean,0.2549772961908442,0.09360715538627057,0.07729592626653473,0.1681982486392029,0.06205327481980303,0.09076509304482079,-0.0453638786599306,0.14391343908250262,,,,
17,bert-base-uncased,2,mod_word_mean,0.2549772961908442,0.09360715538627057,0.07729592626653473,0.1681982486392029,0.06205327481980303,0.09076509304482079,-0.0453638786599306,0.14391343908250262,0.6915890568797991,0.016951281918602772,0.683529663232683,0.003069479310480078
18,bert-base-uncased,3,compound_mean,0.31743267025755917,0.07906326570838128,0.11134180832366482,0.17229986309647852,,,,,,,,
19,bert-base-uncased,3,compound_mean,0.31743267025755917,0.07906326570838128,0.11134180832366482,0.17229986309647852,0.5172573718583046,0.0923734326403376,0.38567932894331636,0.17678081124893968,,,,
20,bert-base-uncased,3,compound_mean,0.31743267025755917,0.07906326570838128,0.11134180832366482,0.17229986309647852,0.5172573718583046,0.0923734326403376,0.38567932894331636,0.17678081124893968,0.48689515899589986,0.097610321563616,0.3972656418344465,0.18359080317408394
21,bert-base-uncased,3,head_noun_mean,0.2674150927819255,0.10683693901258678,0.08249579113843057,0.1969024533409557,,,,,,,,
22,bert-base-uncased,3,head_noun_mean,0.2674150927819255,0.10683693901258678,0.08249579113843057,0.1969024533409557,0.6953102153070484,0.013137606959984397,0.6804114250538146,0.03175762309259906,,,,
23,bert-base-uncased,3,head_noun_mean,0.2674150927819255,0.10683693901258678,0.08249579113843057,0.1969024533409557,0.6953102153070484,0.013137606959984397,0.6804114250538146,0.03175762309259906,0.05887372275663445,0.08034699751660027,-0.08549107737857509,0.12871506106860273
24,bert-base-uncased,3,mod_word_mean,0.24534147823081418,0.08915737534324147,0.09955669530388901,0.17324032930255318,,,,,,,,
25,bert-base-uncased,3,mod_word_mean,0.24534147823081418,0.08915737534324147,0.09955669530388901,0.17324032930255318,0.03255120745475482,0.08402944296686254,-0.04211087841676882,0.1444110102456437,,,,
